Year;Airline;Code;Al Code ICAO;Country;Country Code OAG;Country Code IATA;IATA Regions;Passengers Carried;Kilometres Flown;Aircraft Departures;Hours Flown;Passenger-Kilometres Flown;Available Seat-Kilometres;Tonne-Kilometres Performed;Passenger Load Factor;Period Fin;Currency;Operating Revenue;Operating Revenue Pax;Operating Expenses;Operating Profit;Net Result;Employees;Traf. Source;Fin Source;Pers. Source;Year End;Remarques
2014;RYANAIR;FR;RYR;IRISH REPUBLIC;441;IRLD;Europe;86370000;663000;530100;980300;108149000;125269000;9765000;86.3;12;USD;7050000;5312000;5750000;1300000;1081000;9306;Al Monitor 10/15;Al Monitor 10/15;IATA;31.03;NA
2015;RYANAIR;FR;RYR;IRISH REPUBLIC;441;IRLD;Europe;101401000;720000;583200;1055700;125167000;135989000;11266000;92;12;USD;7202000;5473000;5593000;1609000;1718000;10725;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2006;SAS;SK;SAS;SWEDEN;484;SWED;Europe;26375000;273000;316100;490400;30927000;41123000;3734000;75.2;12;USD;5270000;4311000;5010000;260000;166600;7588;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;AIRLINE OPERATIONS
2007;SAS;SK;SAS;SWEDEN;484;SWED;Europe;26817000;271000;312400;487200;31015000;41239000;3663000;75.2;12;USD;6742000;4910000;6517000;225000;180800;7560;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;AIRLINE OPERATIONS
2008;SAS;SK;SAS;SWEDEN;484;SWED;Europe;26520000;275000;313500;495200;31052000;42525000;7092000;73;12;USD;7199000;5164000;7294000;-95000;-885800;7207;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2009;SAS;SK;SAS;SWEDEN;484;SWED;Europe;22790000;237000;269000;423900;27021000;36783000;3028000;73.5;12;USD;5206000;3753000;5341000;-135000;-410400;13156;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2010;SAS;SK;SAS;SWEDEN;484;SWED;Europe;22814000;225000;253000;402000;27090000;35378000;3215000;76.6;12;USD;5081000;3594000;4998000;83000;-297000;12596;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2011;SAS;SK;SAS;SWEDEN;484;SWED;Europe;24125000;234000;258000;415400;28304000;37245000;3327000;76;12;USD;5713000;4072000;5565000;148000;72600;13306;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2012;SAS;SK;SAS;SWEDEN;484;SWED;Europe;25265000;248000;268200;436400;30409000;39631000;3569000;76.7;12;USD;5766000;4238000;5919000;-153000;6000;13279;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2013;SAS;SK;SAS;SWEDEN;484;SWED;Europe;26731000;274000;297700;478900;32651000;43424000;3846000;75.2;12;USD;6459000;4860000;6062000;397000;208000;11888;Al Monitor 10/15;Al Monitor 10/15;IATA;31.1;NA
2014;SAS;SK;SAS;SWEDEN;484;SWED;Europe;28707000;281000;304600;492200;34691000;44980000;4050000;77.1;12;USD;5646000;4265000;5623000;23000;-107000;12018;Al Monitor 10/15;Al Monitor 10/15;IATA;31.1;NA
2015;SAS;SK;SAS;SWEDEN;484;SWED;Europe;28203000;278000;303500;490800;34104000;44893000;4028000;76;12;USD;4774000;3672000;4506000;268000;115000;11065;Al Monitor 10/16;Al Monitor 10/16;IATA;31.1;NA
2006;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;17789000;179700;142000;285800;28717100;43624800;3677300;66;12;USD;3914000;2489000;3962000;-48000;-488000;22025;Al Monitor 10/07;Al Monitor 10/07;IATA;31.12;NA
2007;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;18156000;209000;162000;333300;30595000;48157000;4023000;63.5;12;USD;4454000;2830000;4282000;172000;130000;18967;Al Monitor 10/09;Al Monitor 10/09;Internet;31.12;NA
2008;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;17691000;222000;160000;351000;31439000;49575000;4243000;63.4;12;USD;4908000;3200000;5386600;-478600;-478600;18078;Al Monitor 10/09;Al Monitor 10/09;IATA;31.12;NA
2009;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;18334000;223000;161900;358000;32225000;50132000;4077000;64.3;12;USD;4900000;3100000;NA;NA;NA;17119;Al Monitor 10/10;Al Monitor 10/10;IATA;31.12;NA
2010;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;18998000;234000;163400;372400;34054000;52603000;4410000;64.7;12;USD;5300000;3600000;NA;NA;NA;16382;Al Monitor 10/11;Al Monitor 10/11;IATA;31.12;NA
2011;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;21472000;261000;175900;417100;39244000;57868000;5133000;67.8;12;USD;6000000;4100000;NA;NA;NA;14874;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;NA
2012;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;24323000;282000;188300;452900;43782000;61150000;5798000;71.6;12;USD;5300000;3900000;NA;NA;NA;14000;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;25282000;292000;191700;469900;47028000;65021000;5979000;72.3;12;USD;5400000;4000000;NA;NA;NA;14000;Al Monitor 10/14;Al Monitor 10/14;Internet 10/15;31.12;NA
2014;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;28193000;322000;203100;514200;54501000;73764000;6535000;73.9;12;USD;5800000;4400000;NA;NA;NA;14000;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2015;SAUDIA;SV;SVA;SAUDI ARABIA;670;SAUD;Middle East;28752000;315000;205000;529700;53966000;79415000;5663000;68;12;USD;5750000;4300000;NA;NA;NA;14000;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;18022000;417000;92200;538100;87629000;112031000;16428000;78.2;12;USD;7281000;6237000;6622000;659000;1421000;15133;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2007;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;18957000;423000;92900;545200;90883000;112555000;16681000;80.7;12;USD;8685000;7535000;7566000;1119000;1197000;15114;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2008;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;19142000;437000;94800;563000;93609000;119341000;16495000;78.4;12;USD;9056000;7818000;8485000;571000;846000;15724;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2009;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;16322000;387000;83200;498100;81537000;106986000;14293000;76.2;12;USD;7137000;6064000;7164000;-27000;197000;14502;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2010;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;16621000;391000;82500;505500;84895000;106648000;15103000;79.6;12;USD;8855000;7612000;8213000;642000;NA;14728;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2011;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;16905000;413000;86600;538800;86384000;112292000;15380000;76.9;12;USD;9664000;8298000;9519000;145000;311000;14896;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2012;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;18053000;422000;90200;553800;92923000;117561000;15550000;79;12;USD;9983000;8615000;9832000;151000;-559000;15332;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2013;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;18666000;423000;91200;557000;95449000;120382000;15321000;79.3;12;USD;9897000;8368000;9694000;203000;NA;15200;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2014;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;18743000;412000;91100;544800;94643000;120240000;14995000;78.7;12;USD;9595000;8153000;9332000;263000;308000;14965;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2015;SINGAPORE INT-L AL;SQ;SIA;SINGAPORE;776;SING;Asia;18833000;409000;90600;541400;93603000;118405000;14916000;79.1;12;USD;8431000;7209000;8081000;350000;344000;14957;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2006;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;19496000;372000;556400;618300;15281000;19234000;1387000;79.4;12;USD;1564300;1538700;1395500;168800;94100;10080;Al Monitor 10/09;Al Monitor 10/09;Internat 10/07;31.12;NA
2007;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;34058000;677000;906400;1100100;28556000;36999000;2592000;77.2;12;USD;3374300;3342100;3039100;335300;161300;10249;Al Monitor 10/09;Al Monitor 10/09;Internet 10/08;31.12;Includes Atlantic Southeast from 2007
2008;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;33104000;639000;873500;1048900;27523000;35523000;2498000;77.5;12;USD;3527500;3497500;3278700;248800;113800;8987;Al Monitor 10/09;Al Monitor 10/09;Internet 10/09;31.12;Includes Atlantic Southeast from 2007
2009;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;34415000;633000;873600;1032500;28112000;35753000;2551000;78.6;12;USD;2613900;2584000;2408600;205300;80700;8654;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;Includes Atlantic Southeast from 2007 - 2010
2010;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;38148000;678000;947200;1099900;30625000;38572000;2779000;79.4;12;USD;2650900;2619800;2456500;194400;71400;9067;Al Monitor 10/13;Al Monitor 10/13;Internet 07/12;31.12;Includes Atlantic Southeast from 2007 to  2010- in Expressjet after taht
2011;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;24407000;483000;616200;776500;21922000;27464000;1989000;79.8;12;USD;2002800;1965900;1893900;108900;36600;10262;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;Includes Atlantic Southeast from 2007 to  2010- in Expressjet after taht
2012;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;26162000;488000;636600;787200;22835000;27852000;2072000;82;12;USD;1930100;1887000;1774900;155200;66300;10139;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;27138000;507000;650800;813400;24061000;29273000;2183000;82.2;12;USD;1827600;1773600;1644100;183400;87100;9719;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;27786000;509000;635700;811700;24953000;29919000;2264000;83.4;12;USD;1888700;1822300;1766700;122000;46500;10478;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;Includes Atlantic Southeast from 2007 - 2010 - In Expressjet after that
2015;SKYWEST AL;OO;SKW;USA;NA;UNST;North America;30078000;522000;624700;816500;27314000;32874000;2478000;83.1;12;USD;1931700;1875500;1715600;216100;113300;9732;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;7715000;144000;61800;205200;25497000;34104000;3507000;74.8;12;USD;2927000;2017000;3013000;192500;-125000;9579;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2007;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;7525000;145000;63600;204400;24844000;33144000;3151000;75;12;USD;3149000;2312000;3285000;-136000;-152000;8305;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2008;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;7113000;141000;63400;198600;22916000;30833000;2778000;74.3;12;USD;3054000;1974000;3016000;38000;46000;8383;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2009;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;6715000;133000;60300;186200;20975000;29390000;2510000;71.4;12;USD;2897000;1899000;2834000;63000;58000;8292;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2010;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;6636000;136000;60800;190600;21205000;30474000;2897000;69.6;12;USD;3157000;2156000;3045000;112000;109000;8883;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2011;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;6480000;135000;56000;190100;21380000;30290000;2958000;70.6;12;USD;3222000;2148000;3391000;-169000;-114000;9209;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2012;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;6886000;141000;57400;197700;22395000;30977000;3185000;72.3;12;USD;3169000;2072000;3285000;-116000;-137000;9011;Al Monitor 10/14;Al Monitor 10/14;IATA;31.03;NA
2013;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;7161000;142000;59000;200200;23334000;31057000;3193000;75.1;12;USD;2969000;1970000;3195000;-226000;-251000;8825;Al Monitor 10/15;Al Monitor 10/15;IATA;31.03;NA
2014;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;6791000;141000;58500;199200;22308000;30527000;3061000;73.1;12;USD;2650000;1750000;3014000;-364000;-407000;9317;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2015;SOUTH AFRICAN AW (SAA);SA;SAA;SOUTH AFRICA;562;SOUF;Southerne Africa;6636000;134000;57500;190800;20840000;28666000;2724000;72.7;12;USD;2150000;1400000;NA;NA;NA;8700;Al Monitor 10/16;Al Monitor 10/16;IATA;31.03;NA
2006;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;96277000;1094000;1093100;1629600;108915000;149093000;10147000;73;12;USD;9072000;8546300;8137800;934200;499000;32664;Al Monitor 10/08;Al Monitor 10/08;Internat 10/07;31.12;NA
2007;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;101911000;1177000;1161500;1746900;116362000;160314000;10771000;72.6;12;USD;9845800;9167300;9055600;790200;645000;34378;Al Monitor 10/09;Al Monitor 10/09;Internet 10/08;31.12;NA
2008;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;101921000;1221000;1192500;1830100;118250000;166167000;10953000;71.2;12;USD;11007400;10224800;10558200;449200;179000;35499;Al Monitor 10/09;Al Monitor 10/09;Av. Strategy 08/09;31.12;NA
2009;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;101338000;1158000;1126200;1739300;119804000;157688000;11049000;76;12;USD;10333800;9560800;10071700;262100;99000;34726;Al Monitor 10/10;Al Monitor 10/10;Internet 07/10;31.12;NA
2010;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;130868000;1471000;1368000;2182300;156685000;196643000;14425000;79.7;12;USD;14712200;13467700;13596100;1116000;506800;34901;Al Monitor 10/12;Al Monitor 10/12;Internet 11/11;31.12;With AirTran
2011;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;135183000;1542000;1399900;2276100;166861000;206427000;15344000;80.8;12;USD;16587000;15187200;15951200;635800;174300;45392;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;With AirTran
2012;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;133979000;1517000;1362600;2227600;165532000;206181000;15215000;80.3;12;USD;17077400;15452600;16454200;623200;420000;45861;Al Monitor 10/13;Al Monitor 10/13;Internet;31.12;NA
2013;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;133140000;1325000;1313900;2179400;167900000;209731000;15432000;80.1;12;USD;17650900;16722400;16372000;1278900;754000;44831;Al Monitor 10/14;Al Monitor 10/14;Internet 10/14;31.12;NA
2014;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;135265000;1458000;1251500;2133300;173826000;210954000;15982000;82.4;12;USD;18551400;17658000;16326300;2225100;1136000;46278;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;ncluding AirTran
2015;SOUTHWEST AL;WN;SWA;USA;NA;UNST;North America;142408000;1530000;1249500;2202500;189062000;226084000;17377000;83.6;12;USD;19734600;18299100;15618100;4116500;2181000;49583;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;4477000;62000;43400;90400;7513000;9078000;665000;83;12;USD;540300;516200;607200;-66900;-79000;2018;Al Monitor 10/08;Al Monitor 10/08;ICAO;31.12;NA
2007;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;6734000;88000;58800;125700;11030000;13516000;986000;81.6;12;USD;762600;686100;731800;30800;200;2133;Al Monitor 10/09;Al Monitor 10/09;Internet 10/08;31.12;NA
2008;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;6865000;89000;59900;126100;10618000;13217000;963000;80.3;12;USD;788800;661100;765200;23600;35600;2300;Al Monitor 10/10;Al Monitor 10/10;Internet 10/09;31.12;NA
2009;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;6088000;80000;53500;113100;9558000;12027000;867000;79.5;12;USD;699000;550000;591800;107200;81500;2089;Al Monitor 10/10;Al Monitor 10/10;Internet;31.12;NA
2010;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;6750000;86000;56500;120200;10662000;12995000;968000;82;12;USD;778900;568100;712400;66500;25400;2351;Al Monitor 10/11;Al Monitor 10/11;Internet 11/11;31.12;NA
2011;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;8296000;97000;65400;136700;12883000;15049000;1169000;85.6;12;USD;1071200;731800;926800;144400;67300;2556;Al Monitor 10/12;Al Monitor 10/12;Internet;31.12;NA
2012;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;10176000;114000;78100;161400;15481000;18180000;1405000;85.2;12;USD;1318400;831700;1144400;174000;95700;3051;Al Monitor 10/15;Al Monitor 10/15;Internet;31.12;NA
2013;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;12098000;139000;89900;194500;19307000;22263000;1752000;86.7;12;USD;1654900;1043500;1372100;282800;166300;3764;Al Monitor 10/15;Al Monitor 10/15;Internet 10/14;31.12;NA
2014;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;13978000;161000;102200;225500;22782000;26389000;2067000;86.3;12;USD;1931600;1221200;1576300;355300;291200;3722;Al Monitor 10/15;Al Monitor 10/15;Internet 10/15;31.12;NA
2015;SPIRIT AL;NK;NKS;USA;NA;UNST;North America;17629000;205000;128200;284300;28955000;34374000;2627000;84.2;12;USD;2141500;1267100;1632300;509200;330700;4326;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;10638000;162000;124000;272700;22072000;27670000;3277000;79.8;12;USD;3325000;2700000;3140000;185000;211000;6376;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;AIRLINE OPERATIONS
2007;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;12061000;175000;130400;292000;25101000;31285000;3642000;80.2;12;USD;4094000;3453000;3641000;453000;397300;6832;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2008;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;13317000;193000;138400;318500;28135000;35026000;3999000;80.3;12;USD;4850000;4125000;4421000;429000;409700;6838;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2009;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;13637000;188000;138900;311400;27505000;34350000;3808000;80.1;12;USD;3979000;3418000;3858000;121000;140700;6812;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2010;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;14127000;195000;134000;323700;29516000;35866000;4270000;82.3;12;USD;4548000;3903000;4199000;349000;315000;6978;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2011;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;15282000;210000;152000;346200;31608000;38635000;4503000;81.8;12;USD;5596000;4761000;5248000;348000;191000;7156;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2012;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;15657000;216000;152300;354600;33520000;40420000;4780000;82.9;12;USD;5394000;4586000;5167000;227000;170000;7581;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2013;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;15799000;219000;147600;355300;35085000;41908000;4979000;83.7;12;USD;5590000;4770000;5304000;286000;170000;7757;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;16259000;223000;145300;358000;35829000;42812000;5198000;83.7;12;USD;5668000;4820000;5291000;377000;301000;7720;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;SWISS;LX;SWR;SWITZERLAND;486;SWTZ;Europe;16357000;225000;146200;361700;35970000;43131000;5131000;83.4;12;USD;5216000;4450000;4747000;469000;408000;8041;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;7081000;131000;70500;198100;16646000;22866000;1805000;72.8;12;USD;2129000;1687000;2083000;46000;68000;5508;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;AIRLINE OPERATIONS
2007;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;7961000;159000;87300;242900;19132000;26977000;2061000;70.9;12;USD;2871000;2175000;2765000;106000;34000;6502;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2008;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;8823000;190000;106900;293700;21904000;32703000;2326000;67;12;USD;3471000;2653000;3766000;-295000;-420000;6986;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2009;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;8467000;178599000;99700;275400;21072000;30780000;2203000;68.5;12;USD;2888000;2294000;2815000;73000;NA;6999;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2010;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;9134000;184000;101500;284200;23940000;32132000;2531000;74.5;12;USD;3056000;2433000;3057000;-1000;-70000;7066;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2011;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;9815000;192000;103900;296900;25964000;34041000;2705000;76.3;12;USD;3409000;2759000;3434000;-25000;-101000;6947;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2012;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;10186000;201000;106700;309400;27220000;35443000;2786000;76.8;12;USD;3378000;2726000;3334000;44000;-33000;6850;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2013;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;10703000;202000;107700;311400;28146000;35442000;2860000;79.4;12;USD;3548000;2647000;3489000;59000;-8000;18882;Al Monitor 10/14;Al Monitor 10/14;IATA;31.12;NA
2014;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;11414000;211000;110100;323900;30112000;37381000;3067000;80.6;12;USD;3700000;3100000;3761000;-61000;-112000;7334;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2015;TAP AIR PORTUGAL;TP;TAP;PORTUGAL;469;PORT;Europe;11328000;213000;110100;325500;29632000;37683000;3018000;78.6;12;USD;2865000;2365000;2982000;-117000;-172000;7285;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2006;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;18204000;227000;91700;326000;55288000;71820000;7180000;77;12;USD;4593000;3687000;4378000;215000;231000;26435;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;AIRLINE OPERATIONS
2007;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;19284000;250000;94300;354200;61359000;77549000;8075000;79.1;12;USD;5813000;4740000;5511000;302000;129000;27356;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2008;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;18114000;240000;90500;339200;56082000;74834000;7429000;74.9;12;USD;6244000;5127000;6809000;-565000;-667000;27286;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2009;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;17861000;229000;88900;324100;52440000;71748000;6883000;73.1;12;USD;4779000;3922000;4375000;404000;216000;27059;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2010;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;17560000;241000;87000;339200;55515000;75291000;7983000;73.7;12;USD;5822000;4577000;5133000;689000;467000;25936;Al Monitor 10/13;Al Monitor 10/13;IATA;31.12;NA
2011;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;17772000;250000;88100;353500;55075000;78151000;7819000;70.5;12;USD;6361000;5061000;6435000;-74000;-333000;25848;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2012;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;20000000;254000;92500;362300;60471000;78832000;8212000;76.7;12;USD;6890000;5597000;6472000;418000;210000;23990;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2013;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;20937000;267000;100100;382500;63315000;85358000;8375000;74.2;12;USD;6855000;5583000;7078000;-223000;-389000;25323;Al Monitor 10/15;Al Monitor 10/15;IATA;31.12;NA
2014;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;20937000;267000;100100;382500;63315000;85358000;8375000;74.2;12;USD;6264000;4759000;6592000;-328000;-478000;24952;Al Monitor 10/16;Al Monitor 10/16;IATA;31.12;NA
2015;THAI AW INT-L;TG;THA;THAILAND;782;THAI;Asia;17932000;239000;80300;337200;58891000;80339000;8043000;73.3;12;USD;5598000;4433000;5837000;-239000;-379000;22864;Al Monitor 10/16;Al Monitor 10/16;Internet 09/16;31.12;NA
2006;TRANSAERO;UN;TSO;RUSSIAN FEDERATION;475;RUSF;Europe;2136000;45000;15500;58600;7796000;10160000;779000;76.7;12;USD;504000;484000;492000;12000;11000;2146;Al Monitor 10/14;Al Monitor 10/14;Internet 10/15;31.12;NA
2007;TRANSAERO;UN;TSO;RUSSIAN FEDERATION;475;RUSF;Europe;3242000;68000;23000;88000;11758000;14788000;1168000;79.5;12;USD;805000;778000;NA;NA;4000;3529;Al Monitor 10/14;Al Monitor 10/14;Internet 10/15;31.12;NA
2008;TRANSAERO;UN;TSO;RUSSIAN FEDERATION;475;RUSF;Europe;4860000;88000;27700;111500;17545000;21251000;1710000;82.6;12;USD;1495000;1386000;NA;NA;4000;4922;Al Monitor 10/14;Al Monitor 10/14;Internet 10/15;31.12;NA
2009;TRANSAERO;UN;TSO;RUSSIAN FEDERATION;475;RUSF;Europe;5026000;99000;31300;125100;18729000;22974000;1857000;81.5;12;USD;1217000;1080000;NA;NA;12000;4918;Al Monitor 10/14;Al Monitor 10/14;Internet 10/15;31.12;NA
